index,ip_source,ip_destination,is_anomaly,source_pod_label,source_namespace_label,source_port_label,destination_pod_label,destination_namespace_label,destination_port_label,ack_flag,psh_flag,timestamp,anomaly_class
3650532,10.42.0.101,10.42.0.191,True,ddos-simulator-green-28718772-h9hwz,green,40546.0,color-app-green-8-599dbb69d8-9mz6z,green,80.0,False,False,2024-08-08T14:12:31.991817508Z,1
3959475,10.42.2.189,10.42.0.191,False,coredns-6799fbcd5-8cvtr,kube-system,,color-app-green-8-599dbb69d8-9mz6z,green,,False,False,2024-08-08T14:23:14.605021944Z,0
3144294,10.42.0.117,10.42.4.64,False,color-app-white-1-5df699b675-fbbhc,white,3000.0,color-app-white-6-744df7b595-d86rw,white,50708.0,True,False,2024-08-08T14:09:42.089341718Z,0
1798005,10.42.2.161,10.42.3.100,True,ddos-simulator-blue-28718772-bf46g,blue,54068.0,color-app-blue-9-d967cd767-qh94w,blue,80.0,False,False,2024-08-08T14:12:03.837994710Z,1
3836426,10.42.2.115,10.42.1.92,True,port-scanner-28718780-tlqcx,orange,46405.0,color-app-indigo-5-5874b58fdc-qv2g4,indigo,51697.0,False,False,2024-08-08T14:23:30.990738520Z,2
3233633,10.42.2.161,10.42.3.100,True,ddos-simulator-blue-28718772-bf46g,blue,58992.0,color-app-blue-9-d967cd767-qh94w,blue,80.0,False,False,2024-08-08T14:12:17.359802564Z,1
3992088,10.42.2.115,10.42.1.93,True,port-scanner-28718780-tlqcx,orange,50829.0,color-app-white-18-65b4d8468-mcpqt,white,44056.0,False,False,2024-08-08T14:23:35.888693615Z,2
4381159,10.42.2.156,10.42.1.61,False,color-app-yellow-9-bdcd4f5c9-28r4t,yellow,56672.0,color-app-yellow-6-97b9c49cc-7ct2r,yellow,3000.0,True,False,2024-08-08T14:12:55.274121817Z,0
949831,10.42.3.190,10.42.3.197,False,,,52156.0,hubble-relay-658dfc95c4-gpgj9,kube-system,4222.0,True,False,2024-08-08T14:03:02.884756625Z,0
3711219,10.42.4.63,10.42.0.148,False,color-app-red-2-6fb9d7579-s6ncd,red,80.0,ddos-simulator-red-28718795-v6gk8,red,60416.0,True,False,2024-08-08T14:35:12.699810913Z,0
2649681,10.42.2.114,10.42.2.171,False,,,45924.0,hubble-ui-647f4487ff-kwkx9,kube-system,8081.0,True,True,2024-08-08T14:17:12.840208524Z,0
116676,fe80::408d:d4ff:feba:8aa3,ff02::16,True,,,,,,,False,False,2024-08-08T14:02:02.148619414Z,3
127367,10.42.1.61,10.42.3.251,False,color-app-yellow-6-97b9c49cc-7ct2r,yellow,80.0,ddos-simulator-yellow-28718762-8lwmw,yellow,51066.0,True,False,2024-08-08T14:02:03.530211861Z,0
2809407,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,37702.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:18.116787189Z,1
1893060,10.42.2.189,10.42.4.80,False,coredns-6799fbcd5-8cvtr,kube-system,,otelcol-daemonset-nzf6l,kube-system,,False,False,2024-08-08T14:09:15.311834688Z,0
4094741,10.42.4.238,10.42.0.143,True,ddos-simulator-yellow-28718795-lzbvb,yellow,54646.0,color-app-yellow-10-5c5cf86df4-jhxvt,yellow,80.0,False,False,2024-08-08T14:35:20.819250018Z,1
3139801,10.42.2.161,10.42.3.100,True,ddos-simulator-blue-28718772-bf46g,blue,35432.0,color-app-blue-9-d967cd767-qh94w,blue,80.0,False,False,2024-08-08T14:12:17.985952754Z,1
811197,10.42.4.175,10.42.0.225,True,ddos-simulator-blue-28718762-zlgx7,blue,48466.0,color-app-blue-7-68c8f7596-bc7l2,blue,80.0,False,False,2024-08-08T14:02:13.082777980Z,1
2072115,10.42.2.161,10.42.3.100,True,ddos-simulator-blue-28718772-bf46g,blue,46258.0,color-app-blue-9-d967cd767-qh94w,blue,80.0,False,False,2024-08-08T14:12:11.008112183Z,1
