index,ip_source,ip_destination,is_anomaly,source_pod_label,source_namespace_label,source_port_label,destination_pod_label,destination_namespace_label,destination_port_label,ack_flag,psh_flag,timestamp,anomaly_class
287921,10.42.1.61,10.42.3.251,False,color-app-yellow-6-97b9c49cc-7ct2r,yellow,80.0,ddos-simulator-yellow-28718762-8lwmw,yellow,42010.0,True,False,2024-08-08T14:02:04.616861873Z,0
2611344,10.42.4.150,10.42.4.152,False,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,ddos-simulator-yellow-28718772-ntwbv,yellow,59038.0,True,False,2024-08-08T14:12:16.909610180Z,0
4839755,10.42.3.133,10.42.2.189,False,color-app-brown-15-77f77ddbd6-7xxxn,brown,,coredns-6799fbcd5-8cvtr,kube-system,,False,False,2024-08-08T14:44:37.131963021Z,0
4242907,10.42.2.241,10.42.1.112,True,ddos-simulator-red-28718772-vmgd5,red,60600.0,color-app-red-3-7c994d6b66-mlr9q,red,80.0,False,False,2024-08-08T14:12:30.769909633Z,1
3622443,10.42.2.115,10.42.1.77,True,port-scanner-28718780-tlqcx,orange,34217.0,color-app-green-9-554764bc47-dnz2n,green,21578.0,False,False,2024-08-08T14:22:58.205191606Z,2
3968681,10.42.2.115,10.42.1.93,True,port-scanner-28718780-tlqcx,orange,50829.0,color-app-white-18-65b4d8468-mcpqt,white,33674.0,False,False,2024-08-08T14:23:34.829508897Z,2
3748485,10.42.2.115,10.42.1.77,True,port-scanner-28718780-tlqcx,orange,34217.0,color-app-green-9-554764bc47-dnz2n,green,15187.0,False,False,2024-08-08T14:22:54.823943094Z,2
2680706,10.42.4.175,10.42.0.225,True,ddos-simulator-blue-28718762-zlgx7,blue,35490.0,color-app-blue-7-68c8f7596-bc7l2,blue,80.0,False,False,2024-08-08T14:02:29.716292290Z,1
3898860,10.42.2.241,10.42.1.112,True,ddos-simulator-red-28718772-vmgd5,red,60648.0,color-app-red-3-7c994d6b66-mlr9q,red,80.0,False,False,2024-08-08T14:12:30.770498049Z,1
4292618,10.42.2.115,10.42.1.93,True,port-scanner-28718780-tlqcx,orange,50829.0,color-app-white-18-65b4d8468-mcpqt,white,43389.0,False,False,2024-08-08T14:23:34.639729264Z,2
115252,10.42.3.191,10.42.2.84,False,color-app-yellow-1-7d6cfb85f-pnj5f,yellow,3000.0,color-app-yellow-5-7c766b68bc-b26b5,yellow,58916.0,True,True,2024-08-08T14:01:37.062576079Z,0
3243744,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,60538.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:25.459204675Z,1
1713670,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,57642.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:03.923949800Z,1
734945,10.42.4.175,10.42.0.225,True,ddos-simulator-blue-28718762-zlgx7,blue,33676.0,color-app-blue-7-68c8f7596-bc7l2,blue,80.0,False,False,2024-08-08T14:02:13.766461684Z,1
2114380,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,44252.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:06.616554937Z,1
434203,10.42.4.58,10.42.3.55,True,ddos-simulator-pink-28718762-fcxgl,pink,40038.0,color-app-pink-7-6dd49bf4b8-cv8rm,pink,80.0,False,False,2024-08-08T14:02:17.134489662Z,1
4834166,10.42.1.93,10.42.0.93,False,color-app-white-18-65b4d8468-mcpqt,white,56758.0,color-app-white-7-555844866-sdfd7,white,3000.0,True,False,2024-08-08T14:25:59.389947350Z,0
3888691,10.42.3.201,10.42.4.63,False,color-app-red-4-84d789dcb4-kxzwd,red,52752.0,color-app-red-2-6fb9d7579-s6ncd,red,3000.0,True,False,2024-08-08T14:30:30.858135214Z,0
